#options: 1920x1118 fps=15/1 timebase=1/15 bitdepth=8 cabac=1 ref=1 deblock=1:0:0 analyse=0x1:0 me=dia subme=2 psy=1 psy_rd=1.00:0.00 mixed_ref=0 me_range=16 chroma_me=1 trellis=0 8x8dct=0 cqm=0 deadzone=21,11 fast_pskip=1 chroma_qp_offset=0 threads=21 lookahead_threads=7 sliced_threads=0 nr=0 decimate=1 interlaced=0 bluray_compat=0 constrained_intra=0 bframes=3 b_pyramid=2 b_adapt=1 b_bias=0 direct=3 weightb=1 open_gop=0 weightp=2 keyint=250 keyint_min=15 scenecut=40 intra_refresh=0 rc_lookahead=50 rc=abr mbtree=1 bitrate=600 ratetol=1.0 qcomp=0.60 qpmin=0 qpmax=69 qpstep=4 ip_ratio=1.40 aq=1:1.00
in:33 out:34 type:b dur:2 cpbdur:2 q:35.67 aq:32.91 tex:364 mv:307 misc:441 imb:1 pmb:29 smb:8370 d:- ref:0 ;
in:38 out:35 type:P dur:2 cpbdur:2 q:31.52 aq:23.19 tex:14652 mv:1370 misc:890 imb:360 pmb:229 smb:7811 d:s ref:0 ;
in:36 out:36 type:B dur:2 cpbdur:2 q:33.06 aq:26.24 tex:706 mv:247 misc:479 imb:0 pmb:34 smb:8366 d:s ref:0 ;
in:35 out:37 type:b dur:2 cpbdur:2 q:33.84 aq:29.78 tex:205 mv:303 misc:452 imb:2 pmb:25 smb:8373 d:s ref:0 ;
in:37 out:38 type:b dur:2 cpbdur:2 q:32.29 aq:35.56 tex:903 mv:350 misc:443 imb:2 pmb:34 smb:8364 d:- ref:0 ;
in:42 out:39 type:P dur:2 cpbdur:2 q:29.49 aq:21.36 tex:16981 mv:981 misc:894 imb:134 pmb:226 smb:8040 d:s ref:0 ;
in:40 out:40 type:B dur:2 cpbdur:2 q:30.50 aq:24.40 tex:2337 mv:354 misc:477 imb:5 pmb:31 smb:8364 d:s ref:0 ;
in:39 out:41 type:b dur:2 cpbdur:2 q:31.01 aq:27.64 tex:1204 mv:307 misc:449 imb:1 pmb:31 smb:8368 d:s ref:0 ;
in:41 out:42 type:b dur:2 cpbdur:2 q:30.00 aq:32.45 tex:288 mv:385 misc:439 imb:1 pmb:22 smb:8377 d:- ref:0 ;
in:46 out:43 type:P dur:2 cpbdur:2 q:27.43 aq:7.84 tex:17499 mv:3372 misc:1089 imb:5766 pmb:149 smb:2485 d:s ref:0 ;
in:44 out:44 type:B dur:2 cpbdur:2 q:28.46 aq:30.83 tex:1244 mv:312 misc:484 imb:15 pmb:21 smb:8364 d:s ref:0 ;
in:43 out:45 type:b dur:2 cpbdur:2 q:28.97 aq:25.19 tex:705 mv:280 misc:471 imb:1 pmb:31 smb:8368 d:s ref:0 ;
in:45 out:46 type:b dur:2 cpbdur:2 q:27.94 aq:31.99 tex:700 mv:332 misc:464 imb:1 pmb:27 smb:8372 d:- ref:0 ;
in:50 out:47 type:P dur:2 cpbdur:2 q:25.66 aq:17.90 tex:15771 mv:1301 misc:920 imb:256 pmb:127 smb:8017 d:s ref:0 ;
in:48 out:48 type:B dur:2 cpbdur:2 q:26.54 aq:26.36 tex:2269 mv:360 misc:499 imb:2 pmb:30 smb:8368 d:s ref:0 ;
in:47 out:49 type:b dur:2 cpbdur:2 q:26.98 aq:30.67 tex:1049 mv:486 misc:457 imb:0 pmb:28 smb:8372 d:s ref:0 ;
in:49 out:50 type:b dur:2 cpbdur:2 q:26.10 aq:21.71 tex:1271 mv:364 misc:469 imb:1 pmb:31 smb:8368 d:- ref:0 ;
in:51 out:51 type:P dur:2 cpbdur:2 q:24.25 aq:13.63 tex:17130 mv:1020 misc:954 imb:169 pmb:211 smb:8020 d:s ref:0 ;
in:55 out:52 type:P dur:2 cpbdur:2 q:24.14 aq:6.31 tex:221180 mv:9121 misc:1179 imb:5707 pmb:235 smb:2458 d:s ref:0 ;
in:53 out:53 type:B dur:2 cpbdur:2 q:24.20 aq:19.45 tex:1744 mv:299 misc:693 imb:12 pmb:213 smb:8175 d:s ref:0 ;
in:52 out:54 type:b dur:2 cpbdur:2 q:24.23 aq:10.24 tex:5782 mv:25244 misc:606 imb:6599 pmb:656 smb:1145 d:s ref:0 ;
in:54 out:55 type:b dur:2 cpbdur:2 q:24.17 aq:25.63 tex:1020 mv:117 misc:439 imb:0 pmb:7 smb:8393 d:- ref:0 ;
in:59 out:56 type:P dur:2 cpbdur:2 q:25.09 aq:14.09 tex:149935 mv:3634 misc:1279 imb:238 pmb:402 smb:7760 d:s ref:0 ;
in:57 out:57 type:B dur:2 cpbdur:2 q:24.61 aq:22.91 tex:1494 mv:319 misc:731 imb:0 pmb:127 smb:8273 d:s ref:0 ;
in:56 out:58 type:b dur:2 cpbdur:2 q:24.38 aq:25.46 tex:1230 mv:224 misc:706 imb:1 pmb:117 smb:8282 d:s ref:0 ;
in:58 out:59 type:b dur:2 cpbdur:2 q:24.85 aq:12.32 tex:1109 mv:58 misc:433 imb:2 pmb:3 smb:8395 d:- ref:0 ;
in:63 out:60 type:P dur:2 cpbdur:2 q:24.42 aq:9.34 tex:294492 mv:9395 misc:1577 imb:5900 pmb:339 smb:2161 d:s ref:0 ;
in:61 out:61 type:B dur:2 cpbdur:2 q:24.76 aq:21.10 tex:1825 mv:847 misc:840 imb:47 pmb:214 smb:8139 d:s ref:0 ;
in:60 out:62 type:b dur:2 cpbdur:2 q:24.93 aq:22.02 tex:1700 mv:345 misc:827 imb:6 pmb:250 smb:8144 d:s ref:0 ;
in:62 out:63 type:b dur:2 cpbdur:2 q:24.59 aq:25.70 tex:1506 mv:161 misc:437 imb:1 pmb:7 smb:8392 d:- ref:0 ;
in:67 out:64 type:P dur:2 cpbdur:2 q:26.78 aq:18.60 tex:268143 mv:9772 misc:1453 imb:1579 pmb:151 smb:6670 d:s ref:0 ;
in:65 out:65 type:B dur:2 cpbdur:2 q:25.60 aq:24.15 tex:3853 mv:995 misc:1504 imb:27 pmb:420 smb:7953 d:s ref:0 ;
in:64 out:66 type:b dur:2 cpbdur:2 q:25.01 aq:22.18 tex:2285 mv:465 misc:882 imb:0 pmb:187 smb:8213 d:s ref:0 ;
in:66 out:67 type:b dur:2 cpbdur:2 q:26.19 aq:17.19 tex:2984 mv:1133 misc:1195 imb:44 pmb:281 smb:8075 d:- ref:0 ;
in:71 out:68 type:P dur:2 cpbdur:2 q:26.84 aq:20.90 tex:20105 mv:887 misc:1232 imb:59 pmb:138 smb:8203 d:s ref:0 ;
in:69 out:69 type:B dur:2 cpbdur:2 q:26.81 aq:19.94 tex:1542 mv:509 misc:909 imb:20 pmb:95 smb:8285 d:s ref:0 ;
in:68 out:70 type:b dur:2 cpbdur:2 q:26.80 aq:21.21 tex:1459 mv:470 misc:599 imb:23 pmb:37 smb:8340 d:s ref:0 ;
in:70 out:71 type:b dur:2 cpbdur:2 q:26.83 aq:18.67 tex:233 mv:114 misc:613 imb:0 pmb:61 smb:8339 d:- ref:0 ;
in:75 out:72 type:P dur:2 cpbdur:2 q:25.70 aq:17.16 tex:6497 mv:857 misc:1534 imb:21 pmb:202 smb:8177 d:s ref:0 ;
in:73 out:73 type:B dur:2 cpbdur:2 q:26.27 aq:20.88 tex:2153 mv:170 misc:805 imb:5 pmb:71 smb:8324 d:s ref:0 ;
in:72 out:74 type:b dur:2 cpbdur:2 q:26.55 aq:18.56 tex:32 mv:55 misc:473 imb:0 pmb:17 smb:8383 d:s ref:0 ;
in:74 out:75 type:b dur:2 cpbdur:2 q:25.98 aq:20.48 tex:1269 mv:84 misc:623 imb:1 pmb:40 smb:8359 d:- ref:0 ;
in:79 out:76 type:P dur:2 cpbdur:2 q:25.13 aq:16.03 tex:7334 mv:347 misc:1407 imb:18 pmb:165 smb:8217 d:s ref:0 ;
in:77 out:77 type:B dur:2 cpbdur:2 q:25.42 aq:18.95 tex:2098 mv:163 misc:603 imb:3 pmb:37 smb:8360 d:t ref:0 ;
in:76 out:78 type:b dur:2 cpbdur:2 q:25.56 aq:20.92 tex:1108 mv:99 misc:625 imb:0 pmb:43 smb:8357 d:s ref:0 ;
in:78 out:79 type:b dur:2 cpbdur:2 q:25.28 aq:19.17 tex:1678 mv:93 misc:637 imb:1 pmb:54 smb:8345 d:- ref:0 ;
in:81 out:80 type:P dur:2 cpbdur:2 q:24.37 aq:16.70 tex:363431 mv:17810 misc:2559 imb:4056 pmb:414 smb:3930 d:s ref:0 ;
in:80 out:81 type:b dur:2 cpbdur:2 q:24.75 aq:24.61 tex:27759 mv:7951 misc:3314 imb:283 pmb:1456 smb:6661 d:s ref:0 ;
in:83 out:82 type:P dur:2 cpbdur:2 q:25.41 aq:17.92 tex:231470 mv:16401 misc:2473 imb:2926 pmb:469 smb:5005 d:s ref:0 ;
in:82 out:83 type:b dur:2 cpbdur:2 q:24.89 aq:19.33 tex:8791 mv:2241 misc:2336 imb:106 pmb:626 smb:7668 d:s ref:0 ;
in:84 out:84 type:P dur:2 cpbdur:2 q:24.02 aq:14.83 tex:297877 mv:16091 misc:2528 imb:4929 pmb:404 smb:3067 d:s ref:0 ;
in:88 out:85 type:P dur:2 cpbdur:2 q:25.77 aq:13.23 tex:446165 mv:18385 misc:2026 imb:4185 pmb:422 smb:3793 d:s ref:0 ;
in:86 out:86 type:B dur:2 cpbdur:2 q:24.90 aq:21.37 tex:1600 mv:518 misc:1658 imb:4 pmb:672 smb:7724 d:s ref:0 ;
in:85 out:87 type:b dur:2 cpbdur:2 q:24.46 aq:14.54 tex:700 mv:742 misc:1518 imb:26 pmb:652 smb:7722 d:s ref:0 ;
in:87 out:88 type:b dur:2 cpbdur:2 q:25.33 aq:18.83 tex:479 mv:388 misc:677 imb:1 pmb:97 smb:8302 d:- ref:0 ;
in:92 out:89 type:P dur:2 cpbdur:2 q:28.01 aq:16.26 tex:9644 mv:1096 misc:1220 imb:76 pmb:143 smb:8181 d:s ref:0 ;
in:90 out:90 type:B dur:2 cpbdur:2 q:26.89 aq:19.89 tex:1838 mv:419 misc:655 imb:21 pmb:69 smb:8310 d:s ref:0 ;
